City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_ID
Solnechnyy,50.7214,136.6319,0.25,88,0,1.99,RU,1615124318,0
Saldanha,-33.0117,17.9442,71.6,64,100,17.27,ZA,1615124318,1
Cherskiy,68.75,161.3,-20.51,88,93,6.44,RU,1615124318,2
Busselton,-33.65,115.3333,67.24,84,79,1.99,AU,1615124318,3
Punta Arenas,-53.15,-70.9167,42.39,87,75,17.27,CL,1615124318,4
Castro,-24.7911,-50.0119,69.55,87,75,3.22,BR,1615124249,5
Karlshamn,56.1706,14.8619,40.1,38,0,17.27,SE,1615124318,6
Bariloche,-41.1456,-71.3082,62.6,59,40,23.02,AR,1615124319,7
Cape Town,-33.9258,18.4232,66.49,68,75,20.71,ZA,1615124319,8
Mataura,-46.1927,168.8643,51.01,69,85,15.99,NZ,1615124319,9
Rawson,-43.3002,-65.1023,78.64,31,100,20.13,AR,1615124319,10
Albany,42.6001,-73.9662,22.78,41,0,1.01,US,1615124319,11
Ushuaia,-54.8,-68.3,42.8,87,75,16.11,AR,1615124319,12
Andros Town,24.7,-77.7667,73.4,78,40,5.75,BS,1615124319,13
Ternate,0.8,127.4,80.83,79,55,6.93,ID,1615124066,14
Nouadhibou,20.931,-17.0347,77.0,36,0,27.63,MR,1615124320,15
Binday,16.1271,120.4525,75.58,73,30,4.61,PH,1615124320,16
Bambous Virieux,-20.3428,57.7575,83.64,79,75,5.75,MU,1615124320,17
Novoagansk,61.9449,76.6625,7.66,96,99,4.97,RU,1615124320,18
Vaini,-21.2,-175.2,78.8,100,40,5.75,TO,1615124320,19
Carnarvon,-24.8667,113.6333,78.8,100,0,18.41,AU,1615124320,20
Quatre Cocos,-20.2078,57.7625,83.57,79,75,5.75,MU,1615124321,21
Mackay,-21.15,149.2,76.89,73,6,6.91,AU,1615124321,22
Saint-Philippe,-21.3585,55.7679,76.55,89,52,6.91,RE,1615124321,23
Butaritari,3.0707,172.7902,81.01,77,0,10.69,KI,1615124321,24
Saskylakh,71.9167,114.0833,-29.87,84,96,2.66,RU,1615124321,25
Ilulissat,69.2167,-51.1,19.4,86,75,13.8,GL,1615124321,26
Tura,25.5198,90.2201,68.63,33,0,2.91,IN,1615124321,27
Okha,53.5739,142.9478,-6.84,87,0,9.91,RU,1615124321,28
Atuona,-9.8,-139.0333,78.87,73,82,10.54,PF,1615124322,29
Souillac,-20.5167,57.5167,84.2,79,75,5.75,MU,1615124322,30
Puerto Ayora,-0.7393,-90.3518,78.01,97,60,5.97,EC,1615124322,31
Nantucket,41.2835,-70.0995,25.36,68,1,11.5,US,1615124322,32
Paita,-5.0892,-81.1144,78.8,69,0,17.27,PE,1615124322,33
Nadvoitsy,63.8667,34.3167,14.25,95,100,14.41,RU,1615124322,34
Rikitea,-23.1203,-134.9692,79.47,82,100,18.57,PF,1615124322,35
Thompson,55.7435,-97.8558,33.8,75,90,3.44,CA,1615124322,36
Pasni,25.2631,63.471,76.57,64,0,17.63,PK,1615124323,37
Flinders,-34.5833,150.8552,69.42,80,100,1.01,AU,1615124323,38
Mahébourg,-20.4081,57.7,84.2,79,75,5.75,MU,1615124323,39
Yumen,40.2833,97.2,42.26,48,0,1.7,CN,1615124323,40
Avarua,-21.2078,-159.775,80.6,89,40,4.61,CK,1615124323,41
Bluff,-46.6,168.3333,51.01,69,73,15.99,NZ,1615124323,42
Krasnosel'kup,65.7,82.4667,-11.34,89,73,7.87,RU,1615124323,43
Yellowknife,62.456,-114.3525,4.62,78,90,9.22,CA,1615124324,44
Belaya Gora,68.5333,146.4167,-12.78,90,100,8.12,RU,1615124324,45
Katsuura,35.1333,140.3,46.09,61,75,8.05,JP,1615124324,46
Arraial do Cabo,-22.9661,-42.0278,75.97,88,90,9.22,BR,1615124324,47
Goya,-29.14,-59.2626,81.32,32,0,3.65,AR,1615124324,48
Bengkulu,-3.8004,102.2655,77.52,80,99,6.08,ID,1615124324,49
Esperance,-33.8667,121.9,62.6,88,0,6.91,AU,1615124324,50
Port Alfred,-33.5906,26.891,75.0,78,0,4.0,ZA,1615124325,51
Hobart,-42.8794,147.3294,57.4,77,90,5.75,AU,1615124325,52
Neuquén,-38.9516,-68.0591,73.4,49,0,4.61,AR,1615124211,53
Kapaa,22.0752,-159.319,67.06,78,75,18.41,US,1615124140,54
Arrifes,37.7667,-25.7,62.6,88,20,13.8,PT,1615124325,55
San Patricio,28.017,-97.5169,53.28,87,1,8.05,US,1615124325,56
Ponta do Sol,32.6667,-17.1,59.34,59,55,5.99,PT,1615124325,57
Tuatapere,-46.1333,167.6833,51.01,69,67,15.99,NZ,1615124326,58
Mahajanga,-15.7167,46.3167,86.0,74,20,14.97,MG,1615124185,59
Fairbanks,64.8378,-147.7164,-6.27,77,1,2.55,US,1615124127,60
La Rioja,42.25,-2.5,50.54,81,90,2.3,ES,1615124326,61
Homer,59.6425,-151.5483,19.15,79,1,4.97,US,1615124326,62
‘Āhuimanu,21.4447,-157.8378,70.3,73,40,11.5,US,1615124326,63
Tiksi,71.6872,128.8694,-17.57,85,100,7.78,RU,1615124326,64
Ussuriysk,43.7986,131.9508,23.0,86,20,4.47,RU,1615124327,65
Khatanga,71.9667,102.5,-24.81,86,44,9.89,RU,1615124327,66
Norman Wells,65.282,-126.8329,1.4,78,75,16.11,CA,1615124327,67
Chokurdakh,70.6333,147.9167,-12.51,89,100,11.48,RU,1615124327,68
Lorengau,-2.0226,147.2712,81.73,73,99,1.79,PG,1615124327,69
Sidi Ali,36.0998,0.4206,58.8,76,100,11.12,DZ,1615124327,70
Clyde River,70.4692,-68.5914,-27.4,68,1,3.44,CA,1615124327,71
Ciudad Guayana,8.3533,-62.6528,86.9,52,19,9.69,VE,1615124327,72
Khairāgarh,26.95,77.8167,82.67,15,0,1.83,IN,1615124328,73
Yangi Marg`ilon,40.4272,71.7189,53.6,43,75,2.3,UZ,1615124328,74
Tateyama,34.9833,139.8667,46.49,63,100,8.77,JP,1615124328,75
Sobolevo,54.4299,31.8996,29.55,94,100,18.16,RU,1615124328,76
Aksha,50.2814,113.2867,13.14,94,0,1.92,RU,1615124328,77
Leningradskiy,69.3833,178.4167,-18.99,76,99,2.53,RU,1615124328,78
Beidao,34.5686,105.8933,35.01,57,100,3.0,CN,1615124329,79
Rocha,-34.4833,-54.3333,75.51,56,0,4.43,UY,1615124329,80
East London,-33.0153,27.9116,73.4,73,0,16.11,ZA,1615124329,81
Qaanaaq,77.484,-69.3632,-14.96,65,0,4.94,GL,1615124329,82
Province of Trapani,37.8333,12.6667,59.41,48,0,20.71,IT,1615124329,83
Dunedin,-45.8742,170.5036,46.9,78,8,4.0,NZ,1615124330,84
Provincia di Imperia,43.9667,7.7833,55.11,47,0,11.5,IT,1615124330,85
Kloulklubed,7.0419,134.2556,80.6,83,40,5.75,PW,1615124330,86
Andenes,69.3143,16.1194,32.0,55,75,12.66,NO,1615124330,87
Kropotkin,45.4375,40.5756,37.35,68,0,6.08,RU,1615124330,88
Hermanus,-34.4187,19.2345,63.0,92,100,1.01,ZA,1615124331,89
Saint Paul Harbor,57.79,-152.4072,33.8,60,1,5.75,US,1615124331,90
Saint-François,46.4154,3.9054,51.71,62,0,2.3,FR,1615124331,91
Adrar,20.5022,-10.0711,79.88,17,0,13.8,MR,1615124331,92
Bembèrèkè,10.2283,2.6634,106.45,12,0,4.38,BJ,1615124331,93
Liwale,-9.7667,37.9333,78.71,79,100,2.89,TZ,1615124331,94
Jamestown,42.097,-79.2353,18.0,93,40,8.57,US,1615124152,95
New Norfolk,-42.7826,147.0587,57.0,77,90,5.75,AU,1615124331,96
Lagoa,39.05,-27.9833,60.51,94,100,19.48,PT,1615124332,97
Sahuaripa,29.05,-109.2333,56.97,37,0,4.21,MX,1615124332,98
Ōdachō-ōda,35.1833,132.5,43.48,80,100,7.0,JP,1615124332,99
Barrow,71.2906,-156.7887,-18.4,69,1,13.8,US,1615124332,100
Nur-Sultan,51.1801,71.446,32.0,86,90,20.13,KZ,1615124333,101
Padang,-0.9492,100.3543,80.6,83,75,4.61,ID,1615124333,102
Dawson Creek,55.7666,-120.2362,30.2,59,1,2.3,CA,1615124333,103
Port Elizabeth,-33.918,25.5701,75.2,64,0,20.71,ZA,1615124333,104
Rāichūr,16.2,77.3667,79.27,21,0,1.81,IN,1615124334,105
Zdvinsk,54.7021,78.661,12.58,94,100,8.84,RU,1615124334,106
College,64.8569,-147.8028,-6.54,77,75,2.53,US,1615124334,107
Touros,-5.1989,-35.4608,84.2,74,40,8.05,BR,1615124334,108
Araure,9.5601,-69.2148,84.09,62,86,1.88,VE,1615124334,109
Vigia,-0.8583,-48.1417,84.2,74,40,9.22,BR,1615124335,110
Mandalī,33.7499,45.5541,69.85,23,0,13.85,IQ,1615124335,111
Pisco,-13.7,-76.2167,74.1,78,20,4.61,PE,1615124336,112
Muisne,0.6,-80.0333,77.0,100,90,4.61,EC,1615124336,113
Upernavik,72.7868,-56.1549,-14.51,85,100,13.51,GL,1615124336,114
Bud,39.447,-86.1758,30.47,59,1,3.44,US,1615124336,115
Bubaque,11.2833,-15.8333,76.05,62,81,5.66,GW,1615124336,116
Vardø,70.3705,31.1107,23.92,93,99,3.8,NO,1615124336,117
Forsytheganj,52.6333,29.7333,35.31,84,100,20.62,BY,1615124337,118
Severo-Kuril'sk,50.6789,156.125,14.74,91,99,27.98,RU,1615124337,119
Klaksvík,62.2266,-6.589,42.8,100,75,6.91,FO,1615124337,120
Serowe,-22.3833,26.7167,87.35,26,35,9.75,BW,1615124337,121
Hamilton,39.1834,-84.5333,29.26,59,1,4.61,US,1615124142,122
Lavrentiya,65.5833,-171.0,15.37,96,100,7.61,RU,1615124337,123
Torbay,47.6666,-52.7314,31.41,69,90,20.71,CA,1615124338,124
Ganzhou,28.8184,115.4327,46.02,86,15,4.12,CN,1615124338,125
Bilibino,68.0546,166.4372,-29.92,81,99,1.07,RU,1615124338,126
Chintamani,13.4,78.0667,84.74,20,0,6.91,IN,1615124338,127
Bethel,41.3712,-73.414,25.66,54,1,4.76,US,1615124338,128
Pacifica,37.6138,-122.4869,43.88,71,1,3.44,US,1615124338,129
George Town,5.4112,100.3354,80.04,88,40,4.61,MY,1615124161,130
Hofn,64.2539,-15.2082,41.0,75,20,4.45,IS,1615124339,131
Beloha,-25.1667,45.05,80.4,59,22,11.61,MG,1615124339,132
San Cristobal,7.7669,-72.225,77.0,94,75,2.3,VE,1615124339,133
St. George's,12.0564,-61.7485,84.2,70,20,26.46,GD,1615124339,134
Chui,-33.6971,-53.4616,75.81,63,28,4.63,UY,1615124339,135
Kahului,20.8947,-156.47,66.51,78,90,6.91,US,1615124275,136
Lebu,-37.6167,-73.65,65.35,80,45,3.38,CL,1615124339,137
Burnie,-41.0667,145.9167,57.38,91,99,1.99,AU,1615124339,138
Quang Ngai,15.1167,108.8,72.54,89,12,0.56,VN,1615124339,139
Narsaq,60.9167,-46.05,33.8,86,90,3.44,GL,1615124340,140
Grindavik,63.8424,-22.4338,39.2,87,40,10.36,IS,1615124340,141
Hasaki,35.7333,140.8333,43.16,70,75,9.22,JP,1615124340,142
Abhā,18.2164,42.5053,75.09,21,0,6.91,SA,1615124340,143
Maceió,-9.6658,-35.7353,84.2,65,75,8.05,BR,1615124341,144
Batemans Bay,-35.7167,150.1833,58.39,91,40,1.99,AU,1615124341,145
Hong Kong,22.2855,114.1577,66.24,87,47,1.99,HK,1615124108,146
Sortavala,61.7053,30.6918,22.86,97,100,13.87,RU,1615124341,147
Marrakesh,31.6315,-8.0083,59.0,77,75,5.75,MA,1615124341,148
San Quintín,30.4833,-115.95,46.99,3,99,8.99,MX,1615124341,149
Imbituba,-28.24,-48.6703,77.0,78,0,2.3,BR,1615124341,150
Hilo,19.7297,-155.09,63.46,88,75,6.91,US,1615124342,151
Coyhaique,-45.5752,-72.0662,51.8,82,90,4.61,CL,1615124342,152
Pacific Grove,36.6177,-121.9166,41.59,87,1,4.61,US,1615124342,153
Sarkand,45.41,79.9186,30.88,84,100,2.86,KZ,1615124342,154
Geraldton,-28.7667,114.6,77.0,78,0,10.36,AU,1615124051,155
Halifax,44.6453,-63.5724,27.52,64,11,8.05,CA,1615124343,156
Tonantins,-2.8731,-67.8022,84.52,70,78,3.71,BR,1615124343,157
Mar del Plata,-38.0023,-57.5575,72.79,73,0,14.97,AR,1615124343,158
Bundaberg,-24.85,152.35,77.54,65,40,11.5,AU,1615124343,159
Aleksandrov Gay,50.147,48.5704,20.12,94,6,8.3,RU,1615124343,160
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-2.2,55,0,13.42,RU,1615124343,161
‘Ewa Beach,21.3156,-158.0072,69.17,73,1,5.75,US,1615124343,162
Marsh Harbour,26.5412,-77.0636,69.91,74,45,13.62,BS,1615124117,163
Tigil',57.8,158.6667,-16.02,88,95,6.06,RU,1615124344,164
Kwang Binh,17.4833,106.6,70.95,93,92,5.77,VN,1615124344,165
Faya,18.3851,42.4509,75.18,21,3,6.91,SA,1615124344,166
Coquimbo,-29.9533,-71.3436,64.4,82,75,5.75,CL,1615124344,167
Zykovo,55.9519,93.1461,24.8,50,99,17.9,RU,1615124344,168
Iaçu,-12.7672,-40.2117,92.53,38,0,5.14,BR,1615124345,169
Semey,50.4111,80.2275,23.0,86,0,2.24,KZ,1615124345,170
Vila,42.0304,-8.1588,61.0,63,22,11.99,PT,1615124345,171
Mount Gambier,-37.8333,140.7667,59.0,94,90,5.75,AU,1615124345,172
Tilichiki,60.4667,166.1,-15.48,89,100,18.84,RU,1615124345,173
Broken Hill,-31.95,141.4333,73.4,31,75,1.14,AU,1615124346,174
Paamiut,61.994,-49.6678,31.12,98,100,9.64,GL,1615124346,175
Lodwar,3.1191,35.5973,97.81,21,42,16.98,KE,1615124346,176
Te Anau,-45.4167,167.7167,40.12,85,12,0.29,NZ,1615124346,177
São Filipe,14.8961,-24.4956,73.0,70,1,14.27,CV,1615124346,178
Tuktoyaktuk,69.4541,-133.0374,-18.2,89,100,14.23,CA,1615124347,179
Selogiri,-7.7833,110.8667,75.96,89,100,2.13,ID,1615124347,180
Sinop Province,41.7711,34.8709,41.0,65,75,5.75,TR,1615124347,181
Barra Bonita,-22.4947,-48.5581,76.82,88,75,8.05,BR,1615124347,182
Athabasca,54.7169,-113.2854,8.71,92,1,2.3,CA,1615124347,183
Iqaluit,63.7506,-68.5145,-9.2,70,90,17.27,CA,1615124347,184
Bowen,-20.0167,148.2333,73.4,94,0,3.44,AU,1615124347,185
Faanui,-16.4833,-151.75,82.44,70,99,12.03,PF,1615124348,186
Talnakh,69.4865,88.3972,-7.06,90,92,4.47,RU,1615124232,187
Nikolskoye,59.7035,30.7861,22.66,63,20,17.9,RU,1615124348,188
Abhar,36.1468,49.218,46.8,50,17,5.99,IR,1615124348,189
Fortuna,40.5982,-124.1573,42.82,100,90,3.44,US,1615124215,190
Farmington,36.7281,-108.2187,32.0,59,1,8.05,US,1615124348,191
Richards Bay,-28.783,32.0377,78.6,76,98,11.63,ZA,1615124348,192
Hithadhoo,-0.6,73.0833,84.29,67,0,8.81,MV,1615124348,193
Weiser,44.251,-116.9693,30.51,80,90,2.95,US,1615124348,194
Inuvik,68.3499,-133.7218,-22.88,76,30,9.22,CA,1615124349,195
Chumikan,54.7183,135.315,2.98,86,0,23.09,RU,1615124349,196
Kavieng,-2.5744,150.7967,81.82,75,100,6.02,PG,1615124349,197
Menongue,-14.6585,17.691,80.13,42,83,8.39,AO,1615124349,198
Fairview,40.8126,-73.999,29.89,50,1,8.95,US,1615124349,199
Sumbe,-11.2061,13.8437,80.67,69,96,2.46,AO,1615124349,200
Kiruna,67.8557,20.2251,24.8,58,0,13.8,SE,1615124176,201
Marabu,4.4148,114.0089,80.31,89,40,5.75,MY,1615124158,202
Lázaro Cárdenas,17.9583,-102.2,72.75,62,0,5.17,MX,1615124060,203
Caravelas,-17.7125,-39.2481,88.84,54,73,10.58,BR,1615124350,204
Cidreira,-30.1811,-50.2056,76.21,59,0,2.98,BR,1615124350,205
Acaraú,-2.8856,-40.12,86.09,65,55,15.75,BR,1615124350,206
Kirakira,-10.4544,161.9205,79.72,78,100,2.57,SB,1615124351,207
Itaituba,-4.2761,-55.9836,80.6,83,75,4.5,BR,1615124177,208
Tirumullaivāsal,11.2333,79.8333,78.19,83,100,8.23,IN,1615124351,209
Digoin,46.4812,3.9795,52.02,62,0,2.3,FR,1615124351,210
Puerto Peñasco,31.3167,-113.5333,63.88,46,52,5.39,MX,1615124351,211
Ancud,-41.8697,-73.8203,57.13,82,20,6.91,CL,1615124351,212
Bandarbeyla,9.4942,50.8122,78.48,69,0,13.29,SO,1615124351,213
Genhe,50.7833,121.5167,0.43,92,51,2.24,CN,1615124351,214
Kindu,-2.95,25.95,76.03,76,100,4.74,CD,1615124351,215
Airai,-8.9266,125.4092,60.8,100,16,0.89,TL,1615124351,216
Totness,5.8833,-56.3167,81.07,82,27,14.72,SR,1615124352,217
Chengde,40.9725,117.9361,33.62,82,0,2.66,CN,1615124352,218
Diébougou,10.9667,-3.25,104.36,20,65,5.1,BF,1615124352,219
Yulara,-25.2406,130.9889,84.2,34,50,12.66,AU,1615124352,220
Jeypore,18.85,82.5833,75.88,18,0,5.7,IN,1615124352,221
Bredasdorp,-34.5322,20.0403,69.8,64,100,10.36,ZA,1615124353,222
Nikolayevka,53.1257,47.2041,19.65,94,100,14.36,RU,1615124353,223
Pabradė,55.0,25.7833,31.44,80,0,12.66,LT,1615124353,224
Ubaíra,-13.2681,-39.6628,89.37,41,18,4.43,BR,1615124353,225
Eydhafushi,5.1033,73.0708,82.87,69,0,9.69,MV,1615124353,226
Dubbo,-32.25,148.6167,71.6,60,68,11.5,AU,1615124354,227
Outjo,-20.1167,16.15,78.78,38,94,6.82,NA,1615124354,228
Rio Grande,-32.035,-52.0986,75.61,73,40,5.75,BR,1615124354,229
Arlit,18.7369,7.3853,97.9,8,100,4.61,NE,1615124354,230
Roald,62.5833,6.1333,34.41,81,40,9.22,NO,1615124354,231
Hobyo,5.3505,48.5268,80.44,70,0,16.98,SO,1615124354,232
Sednëv,51.6447,31.565,34.3,89,93,17.38,UA,1615124354,233
Pokhara,28.2333,83.9833,63.79,34,26,6.17,NP,1615124232,234
Cabo San Lucas,22.8909,-109.9124,57.79,55,1,2.3,MX,1615124193,235
Ribeira Grande,38.5167,-28.7,60.8,100,40,16.11,PT,1615124354,236
Teya,60.3778,92.6267,15.53,92,100,9.17,RU,1615124355,237
Port Hardy,50.6996,-127.4199,37.69,93,75,2.3,CA,1615124355,238
Dingli,35.8614,14.3822,60.62,72,75,16.11,MT,1615124355,239
Chara,56.9064,118.2631,7.84,83,100,3.44,RU,1615124355,240
Maumere,-8.6199,122.2111,80.31,76,71,1.99,ID,1615124355,241
Bongandanga,1.5,21.05,78.12,80,100,7.92,CD,1615124355,242
Salingogon,13.4346,123.1905,74.08,88,94,5.06,PH,1615124356,243
Dikson,73.5069,80.5464,-19.35,89,100,8.88,RU,1615124356,244
Springdale,36.1867,-94.1288,34.29,93,1,5.08,US,1615124356,245
Anloga,5.7947,0.8973,95.0,52,20,16.11,GH,1615124307,246
Dodola,6.9833,39.1833,71.38,30,89,10.98,ET,1615124356,247
Saint George,37.1041,-113.5841,42.8,31,1,2.91,US,1615124232,248
Esim,4.8699,-2.2405,85.98,69,99,10.11,GH,1615124356,249
Kontagora,10.3999,5.4695,105.82,8,73,4.32,NG,1615124357,250
Acapulco de Juárez,16.8634,-99.8901,71.6,83,20,2.77,MX,1615124357,251
Sopotnica,41.2947,21.155,50.0,46,40,2.3,MK,1615124357,252
Noumea,-22.2763,166.4572,69.8,88,20,3.11,NC,1615124357,253
Gallup,35.5281,-108.7426,21.9,68,1,4.7,US,1615124230,254
Pāsighāt,28.0667,95.3333,68.99,43,29,4.25,IN,1615124357,255
Kondopoga,62.2057,34.2614,19.4,86,75,13.42,RU,1615124357,256
Usinsk,65.9939,57.5281,-19.37,88,2,2.37,RU,1615124357,257
Matara,5.9485,80.5353,79.9,79,100,1.5,LK,1615124358,258
Kangaba,11.9333,-8.4167,100.85,23,100,4.0,ML,1615124358,259
Kon Tum,14.35,108.0,67.17,82,0,3.24,VN,1615124358,260
Torrijos,39.9819,-4.2835,58.8,62,40,4.61,ES,1615124358,261
Ahwa,20.75,73.6833,76.51,19,0,3.85,IN,1615124358,262
Laguna,38.421,-121.4238,38.52,87,1,2.51,US,1615124358,263
Skibbereen,51.55,-9.2667,42.8,70,75,5.75,IE,1615124275,264
Meadow Lake,34.8014,-106.5436,35.2,48,1,6.02,US,1615124358,265
Ayorou,14.7308,0.9174,105.51,7,3,11.07,NE,1615124358,266
Isangel,-19.55,169.2667,75.2,88,20,8.55,VU,1615124359,267
Atlantic City,39.3643,-74.4229,32.94,47,1,9.22,US,1615124171,268
Santiago del Estero,-27.7951,-64.2615,84.56,36,0,8.93,AR,1615124359,269
Voykovo,45.3826,36.4372,37.54,63,0,8.12,UA,1615124359,270
Tarrafal,15.2833,-23.7667,75.2,60,40,31.07,CV,1615124359,271
Altea,38.5989,-0.0514,51.67,93,100,14.65,ES,1615124359,272
Marzuq,14.4,46.4667,78.06,22,49,7.65,YE,1615124359,273
Vostok,46.4856,135.8833,4.1,95,83,4.74,RU,1615124360,274
Comodoro Rivadavia,-45.8667,-67.5,68.0,40,0,9.22,AR,1615124360,275
Makkah al Mukarramah,21.4267,39.8261,87.08,39,0,16.2,SA,1615124360,276
San Miguel de Cozumel,20.5083,-86.9458,75.2,69,1,16.11,MX,1615124360,277
Tasiilaq,65.6145,-37.6368,33.8,93,90,24.16,GL,1615124360,278
Berlevåg,70.8578,29.0864,22.8,90,59,3.44,NO,1615124361,279
Lisala,2.15,21.5167,84.15,57,100,3.11,CD,1615124361,280
Anadyr,64.75,177.4833,-4.0,77,90,6.71,RU,1615124361,281
Karratha,-20.7377,116.8463,82.09,73,0,13.18,AU,1615124361,282
