City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nuuk,64.1835,-51.7216,6.0,49,3,6.17,GL,1614923768
Tinaquillo,9.9186,-68.3047,20.64,85,50,2.35,VE,1614923768
Morón,-34.6534,-58.6198,22.74,94,4,0.89,AR,1614923769
Soyo,-6.1349,12.3689,26.84,88,85,1.27,AO,1614923649
Fairbanks,64.8378,-147.7164,-19.15,84,1,2.21,US,1614923770
Madang,-5.2246,145.7966,31.99,60,100,2.83,PG,1614923772
New Norfolk,-42.7826,147.0587,13.85,44,75,10.29,AU,1614923773
Tshikapa,-6.4167,20.8,22.23,92,90,1.04,CD,1614923774
Lethem,3.3803,-59.7968,24.72,78,67,4.68,GY,1614923775
Mossamedes,-15.1961,12.1522,23.57,82,26,1.46,AO,1614923775
Yabēlo,4.8833,38.0833,21.44,48,52,8.66,ET,1614923777
Hambantota,6.1241,81.1185,31.0,62,40,4.63,LK,1614923778
Saint Paul Harbor,57.79,-152.4072,1.0,69,1,5.66,US,1614923778
Kapaa,22.0752,-159.319,19.25,94,90,10.8,US,1614923780
Ushuaia,-54.8,-68.3,14.0,30,90,8.75,AR,1614923781
Hobart,-42.8794,147.3294,14.11,44,75,10.29,AU,1614923782
Cayenne,4.9333,-52.3333,25.65,88,75,1.54,GF,1614923783
Mataura,-46.1927,168.8643,15.0,79,100,2.24,NZ,1614923784
Port Alfred,-33.5906,26.891,21.11,85,12,1.34,ZA,1614923784
Viedma,-40.8135,-62.9967,16.56,68,100,2.95,AR,1614923785
Bambous Virieux,-20.3428,57.7575,28.42,74,40,1.54,MU,1614923787
Cockburn Town,21.4612,-71.1419,25.22,74,0,1.67,TC,1614923788
Gijang,35.2442,129.2139,18.0,48,75,4.12,KR,1614923788
Mahébourg,-20.4081,57.7,28.0,74,40,1.54,MU,1614923789
Moanda,-1.5575,13.2178,24.0,94,20,1.07,GA,1614923789
Rikitea,-23.1203,-134.9692,27.48,81,13,2.8,PF,1614923790
Canatlán,24.5167,-104.7833,14.74,34,89,2.27,MX,1614923791
Antofagasta,-23.65,-70.4,19.0,82,0,0.51,CL,1614923764
Lundazi,-12.2929,33.1782,20.16,89,87,2.48,ZM,1614923791
São Filipe,14.8961,-24.4956,20.94,76,99,4.16,CV,1614923792
Hirado,33.3597,129.5531,15.34,77,75,6.17,JP,1614923794
Castro,-24.7911,-50.0119,17.91,94,100,3.81,BR,1614923795
Chaumont,48.1167,5.1333,4.44,92,93,0.45,FR,1614923721
Teya,60.3778,92.6267,-3.47,93,100,5.07,RU,1614923796
Upernavik,72.7868,-56.1549,-25.78,81,4,7.29,GL,1614923797
Puerto Ayora,-0.7393,-90.3518,22.78,98,73,1.96,EC,1614923798
Lüderitz,-26.6481,15.1594,20.17,55,0,4.68,NA,1614923798
Tasiilaq,65.6145,-37.6368,1.0,93,75,0.51,GL,1614923799
Mayumba,-3.432,10.6554,25.92,87,92,1.98,GA,1614923801
Bethel,41.3712,-73.414,-5.04,56,3,1.34,US,1614923801
Kirakira,-10.4544,161.9205,27.57,79,100,5.21,SB,1614923802
Barrow,71.2906,-156.7887,-28.0,63,90,11.83,US,1614923802
Cape Town,-33.9258,18.4232,17.37,77,0,1.03,ZA,1614923804
Barinas,8.6226,-70.2075,26.14,49,70,1.5,VE,1614923804
Sistranda,63.7256,8.834,1.0,86,75,3.6,NO,1614923805
Leh,34.1667,77.5833,-7.36,74,1,1.06,IN,1614923806
Miramar,25.9873,-80.2323,16.83,88,1,2.06,US,1614923807
Ixtapa,20.7,-105.2,20.56,89,44,1.34,MX,1614923807
Carnarvon,-24.8667,113.6333,28.0,65,20,6.17,AU,1614923807
Chui,-33.6971,-53.4616,20.85,92,66,2.67,UY,1614923809
Kahului,20.8947,-156.47,19.33,64,20,4.12,US,1614923810
Bluff,-46.6,168.3333,15.0,79,100,2.24,NZ,1614923811
Porto Torres,40.835,8.3972,9.0,87,20,2.57,IT,1614923812
Kiryat Gat,31.61,34.7642,11.67,100,6,2.83,IL,1614923683
Erzin,36.9559,36.2,11.67,68,0,2.24,TR,1614923813
Beringovskiy,63.05,179.3167,-22.69,85,69,3.14,RU,1614923815
Nikolskoye,59.7035,30.7861,-7.15,86,20,5.0,RU,1614923815
Chokurdakh,70.6333,147.9167,-21.46,91,100,9.77,RU,1614923817
Mount Gambier,-37.8333,140.7667,19.0,45,30,8.23,AU,1614923817
Dikson,73.5069,80.5464,-31.55,81,25,6.78,RU,1614923818
Qaanaaq,77.484,-69.3632,-30.78,61,0,1.94,GL,1614923819
Taoudenni,22.6783,-3.9836,17.41,28,0,4.52,ML,1614923821
St. George's,12.0564,-61.7485,25.0,94,40,5.14,GD,1614923822
Aldan,58.6031,125.3894,-24.78,86,100,4.2,RU,1614923823
Jamestown,42.097,-79.2353,-8.33,90,90,5.25,US,1614923825
Lebu,-37.6167,-73.65,14.18,86,0,6.41,CL,1614923826
Mar del Plata,-38.0023,-57.5575,17.03,94,90,5.14,AR,1614923667
Deputatsky,69.3,139.9,-29.77,84,100,6.95,RU,1614923826
Souillac,-20.5167,57.5167,28.0,74,40,1.54,MU,1614923828
Cidreira,-30.1811,-50.2056,22.23,91,100,3.93,BR,1614923829
Olafsvik,64.8945,-23.7142,4.72,88,100,7.0,IS,1614923830
Kieta,-6.2167,155.6333,28.79,73,90,3.98,PG,1614923831
Busselton,-33.65,115.3333,23.12,88,58,0.45,AU,1614923832
Kavaratti,10.5669,72.642,28.58,58,18,3.77,IN,1614923834
Havelock,34.8791,-76.9013,6.56,93,1,1.54,US,1614923835
Bairiki Village,1.3292,172.9752,29.0,70,20,5.66,KI,1614923835
Thompson,55.7435,-97.8558,-9.0,86,20,4.12,CA,1614923835
Pangnirtung,66.1451,-65.7125,-11.15,78,100,2.44,CA,1614923837
Naze,28.3667,129.4833,22.0,53,40,6.17,JP,1614923691
Rocha,-34.4833,-54.3333,18.98,94,43,1.75,UY,1614923838
Elizabeth City,36.2946,-76.2511,4.6,53,1,6.17,US,1614923840
Punta Arenas,-53.15,-70.9167,14.0,38,90,10.29,CL,1614923840
Narok,-1.0783,35.8601,19.78,64,67,1.7,KE,1614923841
Omboué,-1.5746,9.2618,25.86,87,97,1.3,GA,1614923843
High Level,58.5169,-117.136,-6.0,79,75,4.63,CA,1614923843
Atuona,-9.8,-139.0333,26.59,75,14,6.42,PF,1614923845
Pevek,69.7008,170.3133,-19.21,87,100,4.86,RU,1614923846
Bandarbeyla,9.4942,50.8122,26.33,63,68,6.75,SO,1614923847
Butaritari,3.0707,172.7902,27.49,78,100,8.01,KI,1614923849
Bengkulu,-3.8004,102.2655,29.95,68,21,4.15,ID,1614923850
Cap Malheureux,-19.9842,57.6142,28.89,68,23,1.34,MU,1614923851
Fortuna,40.5982,-124.1573,11.81,53,63,0.89,US,1614923852
Kichmengskiy Gorodok,59.9816,45.7854,-11.89,94,100,2.75,RU,1614923853
Katsuura,35.1333,140.3,15.46,55,75,2.57,JP,1614923855
Airai,-8.9266,125.4092,21.93,89,68,0.67,TL,1614923856
Cedar City,37.6775,-113.0619,2.47,55,1,2.06,US,1614923634
Kutum,14.2,24.6667,13.86,34,14,2.1,SD,1614923857
Nara,34.6851,135.8049,13.55,88,75,3.09,JP,1614923858
Kloulklubed,7.0419,134.2556,28.0,78,75,4.63,PW,1614923859
Khandyga,62.6667,135.6,-29.7,81,92,0.94,RU,1614923859
Tuktoyaktuk,69.4541,-133.0374,-25.0,77,1,7.72,CA,1614923860
Luang Prabang,19.8856,102.1347,29.0,58,20,3.09,LA,1614923726
Torbay,47.6666,-52.7314,-1.33,86,90,5.14,CA,1614923860
Leningradskiy,69.3833,178.4167,-18.3,91,100,5.88,RU,1614923861
Saint George,37.1041,-113.5841,9.51,40,1,0.5,US,1614923862
Vaini,-21.2,-175.2,28.0,69,75,2.06,TO,1614923863
Hualmay,-11.0964,-77.6139,22.44,76,98,2.02,PE,1614923863
Vilhena,-12.7406,-60.1458,20.63,97,98,0.75,BR,1614923863
Estelle,29.8458,-90.1067,11.53,100,75,1.54,US,1614923865
Ponta do Sol,32.6667,-17.1,11.86,65,61,0.89,PT,1614923866
Manbij,36.5281,37.9549,9.0,43,0,5.14,SY,1614923867
Nome,64.5011,-165.4064,-12.13,85,90,6.69,US,1614923869
Piteå,65.3172,21.4794,-11.0,73,0,4.12,SE,1614923870
Vardø,70.3705,31.1107,-9.0,86,20,6.17,NO,1614923870
Labuhan,-6.8844,112.2051,28.73,71,99,2.72,ID,1614923871
Hilo,19.7297,-155.09,19.08,64,40,2.06,US,1614923872
Hamilton,39.1834,-84.5333,-2.16,64,1,2.06,US,1614923580
Vila,42.0304,-8.1588,8.33,89,93,2.24,PT,1614923873
Russell,32.3502,-85.1999,10.13,81,1,2.05,US,1614923874
Dawson,31.7735,-84.4466,9.47,81,1,2.72,US,1614923875
Morrinhos,-17.7311,-49.0994,18.7,91,89,0.84,BR,1614923877
Port Lincoln,-34.7333,135.8667,20.5,64,37,5.58,AU,1614923878
São Sebastião,-23.76,-45.4097,25.64,70,100,1.37,BR,1614923879
Fallon,39.4735,-118.7774,4.74,45,20,2.57,US,1614923879
Gravdal,68.1214,13.5031,-4.0,86,40,1.54,NO,1614923881
Sirte,31.2089,16.5887,13.13,45,30,6.79,LY,1614923882
Saint-Philippe,-21.3585,55.7679,26.84,70,0,3.09,RE,1614923882
Villanueva,15.3167,-88.0,23.33,87,7,0.8,HN,1614923883
Woodstock,43.1334,-80.7497,-8.43,73,0,2.06,CA,1614923884
Muros,42.7762,-9.0603,9.83,84,79,0.45,ES,1614923885
Iqaluit,63.7506,-68.5145,-12.0,72,75,9.77,CA,1614924342
Hermanus,-34.4187,19.2345,17.22,72,7,0.45,ZA,1614923886
Hervey Bay,-25.2986,152.8535,28.33,54,9,2.68,AU,1614923887
Tual,-5.6667,132.75,28.57,77,37,5.89,ID,1614923888
Bathsheba,13.2167,-59.5167,25.0,73,20,9.26,BB,1614923890
Belmonte,-15.8631,-38.8828,20.0,94,20,1.03,BR,1614923891
Avarua,-21.2078,-159.775,27.0,83,100,0.51,CK,1614923892
Wanning,18.8003,110.3967,26.65,71,2,4.55,CN,1614923892
Najrān,17.4924,44.1277,21.0,24,0,1.44,SA,1614923851
Faanui,-16.4833,-151.75,28.83,72,100,3.14,PF,1614923894
Mehamn,71.0357,27.8492,-5.0,86,40,3.09,NO,1614923894
Khatanga,71.9667,102.5,-28.21,81,15,5.36,RU,1614923895
Ancud,-41.8697,-73.8203,10.52,93,0,2.57,CL,1614923896
Stilfontein,-26.8449,26.7683,21.94,41,56,0.77,ZA,1614923897
Shirokiy,49.758,129.523,-19.63,85,31,8.53,RU,1614923897
Tabivere,58.5542,26.5956,-5.58,86,40,3.09,EE,1614923897
Whitehorse,60.7161,-135.0538,-9.64,79,1,2.06,CA,1614923898
Kaitangata,-46.2817,169.8464,12.51,94,100,2.32,NZ,1614923900
Haines Junction,60.7522,-137.5108,-17.0,92,77,0.51,CA,1614923901
Mana,5.6592,-53.7767,25.02,86,100,4.26,GF,1614923901
Lata,40.1629,-8.3327,10.72,90,100,2.68,PT,1614923902
Severo-Kuril'sk,50.6789,156.125,1.04,90,98,9.13,RU,1614923903
Donji Vakuf,44.1436,17.4,-3.33,87,43,3.13,BA,1614923904
Norrtälje,59.758,18.705,-3.14,83,8,2.68,SE,1614923904
Camabatela,-8.1881,15.375,18.61,95,93,0.42,AO,1614923906
Genhe,50.7833,121.5167,-16.85,83,20,4.27,CN,1614923906
Sonepur,20.8333,83.9167,36.31,11,9,3.74,IN,1614923908
Middle Island,40.8843,-72.9373,-3.11,43,1,9.26,US,1614923908
Malanville,11.8685,3.3899,22.72,19,48,3.49,BJ,1614923910
College,64.8569,-147.8028,-19.19,84,20,3.09,US,1614923911
Korla,41.7597,86.1469,9.87,46,35,3.81,CN,1614923911
George Town,5.4112,100.3354,31.45,66,40,3.6,MY,1614923912
San Luis,-33.295,-66.3356,22.07,49,0,5.19,AR,1614923833
Myitkyina,25.3833,97.4,30.68,25,12,1.71,MM,1614923914
Provideniya,64.3833,-173.3,-13.0,85,40,2.0,RU,1614923914
Sambava,-14.2667,50.1667,28.15,70,76,1.06,MG,1614923916
Faya,18.3851,42.4509,14.99,54,0,2.06,SA,1614923917
Nanortalik,60.1432,-45.2371,-0.28,98,100,2.42,GL,1614923918
Tumpat,6.1978,102.171,30.0,70,40,6.17,MY,1614923919
Dīglūr,18.55,77.6,34.86,10,9,2.12,IN,1614923765
Pāvugada,14.1,77.2667,29.87,13,23,3.79,IN,1614923920
Grindavik,63.8424,-22.4338,4.0,87,75,4.12,IS,1614923920
Arraial do Cabo,-22.9661,-42.0278,24.6,85,99,6.42,BR,1614923921
Nishifukuma,33.7667,130.4667,13.91,82,75,4.12,JP,1614923923
Moose Factory,51.2585,-80.6094,-16.51,55,75,8.23,CA,1614923924
Uddevalla,58.3478,11.9424,-1.09,80,0,3.09,SE,1614923924
Virden,39.5009,-89.7679,-0.39,81,0,0.45,US,1614923925
Aykhal,66.0,111.5,-25.0,86,72,5.31,RU,1614923925
Xichang,27.8964,102.2634,18.99,39,70,2.22,CN,1614923926
Patzicía,14.6317,-90.9269,14.05,67,0,6.17,GT,1614923926
Albany,42.6001,-73.9662,-7.7,38,90,9.77,US,1614923908
Constitución,-35.3333,-72.4167,16.12,73,0,3.74,CL,1614923928
Havre-St-Pierre,50.2334,-63.5986,-8.0,86,90,4.63,CA,1614923929
Dunyapur,29.7995,71.7196,26.0,41,0,2.06,PK,1614923929
Portland,45.5234,-122.6762,8.26,87,90,3.09,US,1614923915
Marsh Harbour,26.5412,-77.0636,21.73,74,4,3.79,BS,1614923930
Buraidah,26.326,43.975,12.0,62,0,3.09,SA,1614923930
Cardston,49.2,-113.3019,5.19,36,50,3.6,CA,1614923672
San Vicente,-26.6167,-54.1333,17.65,100,3,0.65,AR,1614923932
Port Macquarie,-31.4333,152.9167,23.0,73,75,9.26,AU,1614923932
Hithadhoo,-0.6,73.0833,29.11,60,7,3.4,MV,1614923821
Tigzirt,36.8886,4.1198,10.97,81,0,1.05,DZ,1614923932
Dingle,10.9995,122.6711,30.05,64,26,6.68,PH,1614923933
Ribeira Grande,38.5167,-28.7,14.13,70,69,3.36,PT,1614923934
Morant Bay,17.8815,-76.4093,23.21,73,20,1.03,JM,1614923934
Isla Vista,34.4133,-119.861,8.53,87,1,1.54,US,1614923936
Klaksvík,62.2266,-6.589,4.0,70,90,6.17,FO,1614923937
East London,-33.0153,27.9116,21.0,73,0,5.14,ZA,1614923938
Streator,41.1209,-88.8354,-1.92,86,1,3.09,US,1614923940
Borovichi,58.3878,33.9155,-6.55,95,95,3.46,RU,1614923941
Fare,-16.7,-151.0167,28.45,71,99,0.53,PF,1614923941
Uauá,-9.8414,-39.4817,20.84,78,10,4.97,BR,1614923942
Sofiyivka,48.0493,33.8746,1.83,100,90,3.0,UA,1614923944
Riviere-au-Renard,48.9957,-64.3971,-9.0,67,1,4.63,CA,1614923945
Yulara,-25.2406,130.9889,36.0,12,27,3.09,AU,1614923946
Port Elizabeth,-33.918,25.5701,18.0,88,0,3.09,ZA,1614923948
Shawinigan,46.5668,-72.7491,-10.46,48,100,3.6,CA,1614923949
Oriximiná,-1.7656,-55.8661,23.0,91,99,1.2,BR,1614923950
Alekseyevskaya,50.2896,42.1845,3.33,84,100,2.24,RU,1614923950
Aranos,-24.1333,19.1167,23.34,34,33,3.15,NA,1614923951
Henties Bay,-22.116,14.2845,21.89,61,37,1.72,NA,1614923953
Xining,36.6167,101.7667,5.18,47,100,2.49,CN,1614923954
Barra de Tecoanapa,16.5167,-98.75,22.21,81,0,2.07,MX,1614923954
Mérida,20.9667,-89.6167,22.11,83,1,2.57,MX,1614923955
Ol'ga,43.7444,135.2892,8.51,54,99,6.09,RU,1614923957
Shenjiamen,29.9576,122.298,11.61,80,97,3.72,CN,1614923958
Bredasdorp,-34.5322,20.0403,13.0,88,0,1.45,ZA,1614923959
Kalmunai,7.4167,81.8167,28.11,70,37,5.11,LK,1614923961
Magadan,59.5667,150.8,-23.76,86,63,1.76,RU,1614923765
Kasongo-Lunda,-6.4667,16.8167,21.99,91,95,0.58,CD,1614923962
Kantang,7.4054,99.5156,34.22,49,40,2.57,TH,1614923964
San Patricio,28.017,-97.5169,17.85,88,90,5.14,US,1614923964
Salinópolis,-0.6136,-47.3561,25.63,84,87,2.93,BR,1614923965
Aklavik,68.2191,-135.0107,-25.53,84,45,3.09,CA,1614923965
Talnakh,69.4865,88.3972,-19.58,89,95,3.63,RU,1614923966
Esso,55.9333,158.7,-14.81,85,36,1.72,RU,1614923967
Diego de Almagro,-26.3667,-70.05,13.77,66,0,0.36,CL,1614923968
Astoria,46.1879,-123.8313,9.0,93,90,3.09,US,1614923969
Biltine,14.5333,20.9167,20.86,22,51,7.9,TD,1614923970
Eydhafushi,5.1033,73.0708,27.83,74,4,7.05,MV,1614923972
Ilulissat,69.2167,-51.1,-7.0,73,76,4.63,GL,1614923973
Namtsy,62.7161,129.6658,-26.0,58,0,6.0,RU,1614923975
Shīeli,44.1667,66.75,2.95,73,0,2.86,KZ,1614923975
Fougamou,-1.2154,10.5838,23.88,92,90,0.35,GA,1614923975
Sola,-13.8833,167.55,28.0,83,90,5.51,VU,1614923975
Longyearbyen,78.2186,15.6401,-12.0,72,75,11.32,SJ,1614923977
Nizwá,22.9333,57.5333,31.76,16,0,1.49,OM,1614923977
Bara,10.3744,10.7288,21.84,21,0,3.38,NG,1614923978
Bogale,16.2833,95.4,36.86,21,2,2.86,MM,1614923979
Baringo,0.4667,35.9667,25.83,45,17,3.1,KE,1614923981
Maragogi,-9.0122,-35.2225,24.86,88,7,3.45,BR,1614923982
Khanpur,28.6453,70.6567,31.25,11,0,1.31,PK,1614923947
Meulaboh,4.1363,96.1285,29.1,74,26,2.65,ID,1614923984
Balaipungut,1.05,101.2833,31.0,58,75,1.74,ID,1614923984
Serrana,-21.2114,-47.5956,22.0,88,0,1.18,BR,1614923985
Simao,22.7886,100.9748,25.84,17,0,5.74,CN,1614923986
Kerema,-7.9631,145.7785,28.5,72,100,3.65,PG,1614923986
Toba,34.4833,136.85,14.27,88,75,1.54,JP,1614923987
Gigmoto,13.7796,124.39,28.2,69,29,5.5,PH,1614923989
Los Llanos de Aridane,28.6585,-17.9182,17.0,72,0,1.54,ES,1614923990
Vila Franca do Campo,37.7167,-25.4333,13.0,76,20,5.66,PT,1614923992
Gao,16.6362,1.637,22.51,18,32,6.65,ML,1614923993
Clearlake,38.9582,-122.6264,5.32,67,31,0.72,US,1614923958
Kāvali,14.9167,79.9833,31.27,30,4,2.61,IN,1614923994
Bokoro,12.3807,17.0568,21.5,21,0,5.11,TD,1614923995
Sitka,57.0531,-135.33,5.0,70,90,3.12,US,1614923996
Ormstown,45.1334,-73.9992,-9.15,41,100,5.14,CA,1614923996
Yellowknife,62.456,-114.3525,-17.42,71,90,6.69,CA,1614923997
Guerrero Negro,27.9769,-114.0611,15.05,75,97,4.89,MX,1614923999
Klyuchi,52.2667,79.1667,-3.59,93,68,8.79,RU,1614924000
Bud,39.447,-86.1758,-1.29,82,0,3.43,US,1614924001
Lompoc,34.6391,-120.4579,7.2,87,20,1.54,US,1614924004
Tiksi,71.6872,128.8694,-28.44,87,98,2.23,RU,1614924349
Ketchikan,55.3422,-131.6461,6.0,75,90,14.92,US,1614924350
Quatre Cocos,-20.2078,57.7625,28.17,74,40,1.54,MU,1614924350
Roebourne,-20.7833,117.1333,34.15,33,36,5.59,AU,1614924350
Flinders,-34.5833,150.8552,21.67,58,20,0.89,AU,1614924352
Río Gallegos,-51.6226,-69.2181,12.0,82,0,2.06,AR,1614924352
Paraíso,9.8383,-83.8656,17.05,72,0,5.66,CR,1614924353
Safi,32.2994,-9.2372,14.41,77,77,3.48,MA,1614924355
Vostok,46.4856,135.8833,-9.06,97,100,6.87,RU,1614924356
Sampit,-2.5333,112.95,34.01,49,100,0.66,ID,1614924356
Tuatapere,-46.1333,167.6833,15.0,75,83,1.79,NZ,1614924356
Yar-Sale,66.8333,70.8333,-11.53,96,98,2.83,RU,1614924356
Longhua,23.6137,114.1919,20.35,82,100,0.56,CN,1614924358
Alvorada,-12.48,-49.1247,20.92,95,42,1.47,BR,1614924358
Srednekolymsk,67.45,153.6833,-22.29,88,100,8.75,RU,1614924359
Strezhevoy,60.7333,77.5889,-5.0,86,90,2.0,RU,1614924361
Ostrovnoy,68.0531,39.5131,-10.33,94,100,3.01,RU,1614924362
Porto Empedocle,37.2934,13.5264,8.3,87,100,3.43,IT,1614924362
Chiang Rai,19.9167,99.9167,32.83,35,64,2.57,TH,1614924362
Abu Dhabi,24.4667,54.3667,31.44,22,0,2.57,AE,1614924364
Cherskiy,68.75,161.3,-24.1,90,100,1.9,RU,1614924365
Am Timan,11.0297,20.2827,22.58,20,61,4.37,TD,1614924366
Port-Cartier,50.0334,-66.8654,-8.96,67,1,1.54,CA,1614924266
Tabou,4.423,-7.3528,25.79,88,71,4.38,CI,1614924367
Erenhot,43.6475,111.9767,-8.09,48,27,4.95,CN,1614924367
Ugoofaaru,5.6667,73.0,27.95,76,4,7.36,MV,1614924368
Ajdabiya,30.7554,20.2263,12.96,46,97,4.79,LY,1614924368
Inta,66.0317,60.1659,-16.55,93,100,2.52,RU,1614924370
Norman Wells,65.282,-126.8329,-16.0,72,40,5.66,CA,1614924370
Port Hardy,50.6996,-127.4199,5.16,93,20,2.57,CA,1614924371
