City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bajil,15.0584,43.2851,26.09,76,20,1.78,YE,1614924371
Ovsyanka,55.9575,92.5519,1.0,44,0,5.0,RU,1614924371
Kudahuvadhoo,2.6708,72.8944,28.2,71,20,4.25,MV,1614924372
Acarí,-15.4311,-74.6158,23.2,82,97,1.34,PE,1614924372
Madimba,-10.4,40.3333,25.0,94,75,50.42,TZ,1614924372
Bom Jardim,-7.7958,-35.5872,22.0,100,75,2.57,BR,1614924374
Usinsk,65.9939,57.5281,-17.5,93,100,2.25,RU,1614924374
Tessalit,20.1986,1.0114,20.5,21,99,7.14,ML,1614924376
Digby,44.6169,-65.7655,-5.77,73,100,2.57,CA,1614924379
La Ronge,55.1001,-105.2842,0.0,55,70,4.12,CA,1614924380
Jackson,42.4165,-122.8345,9.68,33,1,7.72,US,1614924182
Santa Rita do Passa Quatro,-21.7103,-47.4781,19.28,98,100,1.53,BR,1614924380
Terrenate,19.4833,-97.9167,12.13,43,0,0.46,MX,1614924382
Cabo San Lucas,22.8909,-109.9124,17.96,67,100,0.45,MX,1614924382
Coquimbo,-29.9533,-71.3436,17.0,82,90,0.51,CL,1614924135
Mwinilunga,-11.7358,24.4293,17.93,95,89,1.37,ZM,1614924382
Phanat Nikhom,13.4458,101.1844,33.13,71,20,3.05,TH,1614924383
Araouane,18.9048,-3.5265,19.49,22,36,4.76,ML,1614924385
Porbandar,21.6422,69.6093,30.65,39,0,3.52,IN,1614924385
Mandalgovi,45.7625,106.2708,-5.47,71,0,4.58,MN,1614924386
La Rioja,42.25,-2.5,8.29,100,90,1.03,ES,1614924388
Ullal,12.8,74.85,31.0,42,7,2.06,IN,1614924389
Macapá,0.0389,-51.0664,25.0,100,75,1.03,BR,1614924390
Pergamino,-33.89,-60.5736,19.44,92,6,3.13,AR,1614924392
The Valley,18.217,-63.0578,24.63,83,20,5.14,AI,1614924295
Délegyháza,47.2413,19.0902,6.82,65,0,1.54,HU,1614924393
Micheweni,-4.9667,39.8333,28.28,72,96,6.01,TZ,1614924395
Marabu,4.4148,114.0089,30.0,79,40,4.12,MY,1614924395
Papara,-3.9839,-38.7273,27.11,83,75,5.66,BR,1614924396
Nabire,-3.3667,135.4833,29.86,67,100,3.03,ID,1614924397
Koungou,-12.7336,45.2042,29.0,79,75,7.2,YT,1614924399
Caravelas,-17.7125,-39.2481,22.35,85,43,2.33,BR,1614924399
Zhigansk,66.7697,123.3711,-31.92,81,33,1.05,RU,1614924400
Kununurra,-15.7667,128.7333,37.0,25,0,2.57,AU,1614924301
Yumen,40.2833,97.2,5.95,53,94,4.12,CN,1614924401
Helong,42.5397,128.9972,1.51,80,80,4.47,CN,1614924364
Khagaria,25.5,86.4833,32.73,13,7,4.23,IN,1614924403
San Juan,-31.5375,-68.5364,26.47,39,1,1.08,AR,1614924167
Palmer,42.1584,-72.3287,-5.26,39,20,8.75,US,1614924404
Arrondissement de Rennes,48.1667,-1.6667,6.0,75,90,4.63,FR,1614924127
Kampene,-3.6,26.6667,21.4,95,91,0.93,CD,1614924405
Tura,25.5198,90.2201,29.15,20,0,3.47,IN,1614924406
Sarakhs,36.5449,61.1577,11.0,58,0,3.09,IR,1614924407
Laas,46.6166,10.7002,1.0,100,0,2.57,IT,1614924407
Bubaque,11.2833,-15.8333,24.47,68,5,5.29,GW,1614924408
Goderich,43.7501,-81.7165,-3.0,59,95,7.2,CA,1614924410
Kamenka,51.3223,42.7678,1.67,94,100,5.29,RU,1614924411
Ponta Delgada,37.7333,-25.6667,13.0,76,20,5.66,PT,1614924412
Pisco,-13.7,-76.2167,22.67,78,0,1.54,PE,1614924413
Perote,19.5667,-97.2333,10.26,47,12,1.58,MX,1614924413
Rome,43.2128,-75.4557,-7.09,45,90,6.69,US,1614924415
Umeå,63.8284,20.2597,-10.57,85,0,3.6,SE,1614924416
Sur,22.5667,59.5289,31.46,29,0,1.88,OM,1614924417
Sabana Grande de Boyá,18.945,-69.7933,21.0,94,20,2.06,DO,1614924419
Amurrio,43.05,-3.0,7.76,93,75,1.03,ES,1614924419
Waingapu,-9.6567,120.2641,29.93,74,23,5.94,ID,1614924419
Palu,-0.8917,119.8707,29.0,72,100,1.72,ID,1614924147
Sunndalsøra,62.6754,8.5515,0.0,86,75,4.63,NO,1614924420
Kwinana,-32.25,115.7667,25.42,83,90,7.72,AU,1614924422
Vila Velha,-20.3297,-40.2925,23.84,78,0,3.09,BR,1614924147
Daru,-9.0763,143.2092,31.02,63,88,4.15,PG,1614924423
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,21.11,88,9,0.45,AR,1614924423
Maniitsoq,65.4167,-52.9,-0.73,89,1,1.78,GL,1614924424
Harper,4.375,-7.7169,26.09,87,88,4.69,LR,1614924424
São Gabriel da Cachoeira,-0.1303,-67.0892,22.62,97,88,0.82,BR,1614924424
Esil,51.9556,66.4042,-4.29,97,100,13.85,KZ,1614924426
Ahipara,-35.1667,173.1667,19.65,65,1,3.1,NZ,1614924426
San Jose,37.3394,-121.895,10.03,71,1,1.37,US,1614924426
Province of Mantua,45.1667,10.7833,7.05,86,95,0.89,IT,1614924427
Vangaindrano,-23.35,47.6,27.57,75,74,1.07,MG,1614924363
Zhengjiatun,43.5064,123.5064,-6.17,76,82,7.46,CN,1614924429
Puerto Palomas,31.7667,-107.6167,9.0,40,1,5.14,MX,1614924429
Miles City,46.4083,-105.8406,0.0,69,1,3.09,US,1614924429
Namatanai,-3.6667,152.4333,28.35,79,98,3.56,PG,1614924430
Sawtell,-30.3833,153.1,27.0,50,0,6.69,AU,1614924432
Cache Creek,50.8101,-121.3246,5.67,65,1,6.69,CA,1614924433
Cam Ranh,11.9214,109.1591,29.0,61,20,4.63,VN,1614924434
Roald,62.5833,6.1333,-0.33,80,75,4.63,NO,1614924435
Tamandaré,-8.7597,-35.1047,24.6,87,37,2.96,BR,1614924436
Uray,60.1247,64.7758,-9.3,91,51,1.39,RU,1614924436
Storslett,69.7678,21.0247,-4.0,80,75,2.06,NO,1614924438
Lensk,60.7253,114.9278,-18.31,82,47,4.41,RU,1614924439
Cortes,41.9395,-1.4396,8.67,93,90,1.03,ES,1614924440
Camocim,-2.9022,-40.8411,23.85,89,100,2.45,BR,1614924442
Camargo,27.6667,-105.1667,20.29,23,98,6.21,MX,1614924443
Hasaki,35.7333,140.8333,15.0,67,75,4.12,JP,1614924443
Minggang,32.4586,114.0486,12.7,69,100,1.45,CN,1614924443
Kuito,-12.3833,16.9333,15.45,93,91,1.46,AO,1614924443
Buala,-8.145,159.5921,28.16,74,67,2.46,SB,1614924444
Epiniana,39.1429,21.6134,1.67,19,0,1.7,GR,1614924445
Kisangani,0.5167,25.2,26.28,64,91,1.15,CD,1614924445
Tezu,27.9167,96.1667,27.68,26,90,1.68,IN,1614924446
Arlit,18.7369,7.3853,20.36,22,27,2.87,NE,1614924448
Maracaçumé,-2.0428,-45.9592,22.47,97,100,0.75,BR,1614924448
Carutapera,-1.195,-46.02,23.75,93,67,2.01,BR,1614924450
Kenai,60.5544,-151.2583,-11.08,85,1,3.09,US,1614924413
Kemin,42.7846,75.6892,0.23,93,93,0.85,KG,1614924451
Saurimo,-9.6608,20.3916,18.62,92,99,1.72,AO,1614924451
Nālūt,30.3333,10.85,11.64,42,100,4.79,LY,1614924452
Golden,39.7555,-105.2211,2.18,87,75,2.57,US,1614924454
Hong Kong,22.2855,114.1577,20.07,87,85,1.34,HK,1614924454
Clyde River,70.4692,-68.5914,-30.0,76,1,8.23,CA,1614924455
Vao,-22.6667,167.4833,25.6,63,89,0.6,NC,1614924392
Orodara,10.9492,-4.9342,21.91,23,3,1.24,BF,1614924457
Skjervøy,70.0311,20.9714,-4.0,80,75,2.06,NO,1614924458
Narsaq,60.9167,-46.05,3.0,70,90,7.2,GL,1614924459
Lauf,48.65,8.1333,3.51,87,90,1.54,DE,1614924460
Point Pleasant,40.0832,-74.0682,-1.72,43,1,9.26,US,1614924461
Benjamín Hill,30.1667,-111.1,16.37,61,99,1.34,MX,1614924462
Oranjemund,-28.55,16.4333,16.33,83,0,3.73,NA,1614924463
Tres Arroyos,-38.3739,-60.2798,15.64,74,99,4.34,AR,1614924465
Saskylakh,71.9167,114.0833,-32.87,93,5,3.92,RU,1614924465
Adrar,20.5022,-10.0711,17.93,23,31,4.46,MR,1614924466
Luoyang,34.6836,112.4536,21.11,99,100,1.23,CN,1614924467
Codrington,-38.2667,141.9667,15.3,62,100,6.29,AU,1614924469
Andenes,69.3143,16.1194,-2.69,93,75,4.12,NO,1614924470
Sémbé,1.6481,14.5806,23.35,84,36,1.28,CG,1614924470
Páchni,41.3,24.9,7.16,93,20,1.54,GR,1614924470
Kiama,-34.6833,150.8667,20.95,58,11,0.89,AU,1614924471
Marawi,7.9986,124.2928,28.33,79,77,3.58,PH,1614924472
Griffith,41.5284,-87.4237,-1.33,74,1,1.54,US,1614924473
Hegang,47.4,130.3667,-13.77,55,0,7.62,CN,1614924473
Jumla,29.2747,82.1838,14.22,29,0,2.64,NP,1614924474
Yining,29.0361,114.5636,13.74,85,98,0.59,CN,1614924476
Alofi,-19.0595,-169.9187,28.0,78,100,2.57,NU,1614924477
Kraśnik,50.9236,22.2271,0.39,93,90,2.57,PL,1614924479
Esperance,-33.8667,121.9,23.0,78,75,5.66,AU,1614924480
Maceió,-9.6658,-35.7353,23.0,94,20,0.51,BR,1614924481
Villafranca de los Barros,38.5614,-6.3381,10.56,85,100,1.34,ES,1614924245
Gaya,24.7833,85.0,29.0,32,41,1.54,IN,1614924483
Keffi,8.8486,7.8736,24.0,35,0,2.06,NG,1614924484
Synya,65.3718,58.0387,-18.46,92,99,1.16,RU,1614924485
Yeppoon,-23.1333,150.7333,33.0,33,15,3.6,AU,1614924486
Porvoo,60.3923,25.6651,-7.81,79,0,3.09,FI,1614924487
Collie,-33.3667,116.15,23.89,76,70,4.02,AU,1614924488
Litovko,49.2361,135.1742,-10.4,96,100,4.75,RU,1614924489
Saint-Leu,-21.15,55.2833,26.31,60,51,3.09,RE,1614924491
Amga,60.8953,131.9608,-26.78,84,97,3.44,RU,1614924492
Copiapó,-27.3667,-70.3333,18.0,77,90,3.09,CL,1614924492
Montevideo,-34.8335,-56.1674,20.78,94,75,2.52,UY,1614924494
Road Town,18.4167,-64.6167,24.07,91,0,3.7,VG,1614924494
Mossendjo,-2.9506,12.7261,21.84,96,59,0.39,CG,1614924495
Savinskiy,62.9342,40.1361,-15.49,93,87,2.69,RU,1614924496
Belaya Gora,68.5333,146.4167,-25.41,93,100,12.62,RU,1614924497
Mount Darwin,-16.7725,31.5838,19.92,91,78,0.54,ZW,1614924498
Brewster,41.3973,-73.6171,-5.42,57,0,2.68,US,1614924498
Porto Santo,33.072,-16.3415,16.0,77,40,9.77,PT,1614924498
Māngrol,21.1167,70.1167,30.71,33,0,2.89,IN,1614924499
Grand Gaube,-20.0064,57.6608,28.33,69,22,2.24,MU,1614924501
Dunedin,-45.8742,170.5036,15.0,73,100,3.13,NZ,1614924502
Ust-Maya,60.4167,134.5333,-28.68,83,99,3.43,RU,1614924503
Niltepec,16.5667,-94.6167,23.29,79,5,3.17,MX,1614924505
Yeniseysk,58.4497,92.1703,-1.59,95,100,4.52,RU,1614924506
Launceston,-41.45,147.1667,18.51,32,2,7.72,AU,1614924506
Lagoa,39.05,-27.9833,13.8,66,75,2.48,PT,1614924506
São João da Barra,-21.6403,-41.0511,23.0,94,0,1.03,BR,1614924507
Katobu,-4.9408,122.5276,29.89,69,52,2.06,ID,1614924509
Kumul,42.8,93.45,9.52,41,0,2.79,CN,1614924510
Sobolevo,54.4299,31.8996,-7.23,95,61,2.88,RU,1614924510
Necochea,-38.5473,-58.7368,16.67,74,97,2.68,AR,1614924511
Woodward,36.4337,-99.3904,11.41,71,40,5.66,US,1614924241
Jalu,29.0331,21.5482,11.85,45,93,3.94,LY,1614924513
Xinqing,48.2333,129.5,-17.14,61,10,6.2,CN,1614924513
Lukuledi,-10.5667,38.8,23.01,92,100,3.06,TZ,1614924514
Bayanday,53.0661,105.5139,-9.85,90,2,2.77,RU,1614924516
Blagoveshchenka,52.8333,79.8667,-4.17,81,85,9.3,RU,1614924516
Banes,20.9625,-75.7186,23.0,94,75,1.03,CU,1614924517
Ivnya,51.0629,36.1343,0.0,93,75,4.0,RU,1614924519
Vanimo,-2.6741,141.3028,29.63,66,93,5.75,PG,1614924520
Sault Ste. Marie,46.5168,-84.3333,-6.79,73,1,2.06,CA,1614924463
Laguna,38.421,-121.4238,10.29,58,1,2.57,US,1614924521
Caucayá,-0.1934,-74.7819,21.71,95,46,0.84,CO,1614924522
Ialibu,-6.2821,143.9935,16.76,96,100,1.89,PG,1614924524
Yangi Marg`ilon,40.4272,71.7189,8.0,53,40,6.17,UZ,1614924525
Porto Belo,-27.1578,-48.5531,22.85,100,100,3.76,BR,1614924526
Krasnoarmeysk,51.0239,45.6969,1.67,70,100,3.58,RU,1614924526
Nieuw Amsterdam,5.8833,-55.0833,25.56,90,88,1.34,SR,1614924527
Sítio Novo do Tocantins,-5.5183,-47.4611,24.0,94,40,5.14,BR,1614924528
Tarakan,3.3,117.6333,28.9,63,52,3.84,ID,1614924530
Carroll,39.5501,-77.0164,-2.71,54,1,4.63,US,1614924531
Talcahuano,-36.7167,-73.1167,14.0,94,0,1.54,CL,1614924532
Salalah,17.0151,54.0924,33.0,22,0,0.51,OM,1614924534
Sokoto,13.0609,5.239,22.69,10,1,5.36,NG,1614924534
Lavrentiya,65.5833,-171.0,-16.07,88,94,5.1,RU,1614924535
Isiro,2.7739,27.616,26.19,53,63,0.66,CD,1614924536
Tilichiki,60.4667,166.1,-29.05,84,88,4.64,RU,1614924537
Anadyr,64.75,177.4833,-21.0,84,75,7.0,RU,1614924539
Ust-Nera,64.5667,143.2,-31.25,74,100,3.02,RU,1614924540
Kruisfontein,-34.0033,24.7314,18.33,87,1,0.45,ZA,1614924540
Upata,8.0086,-62.3989,23.89,92,75,0.45,VE,1614924540
Morros,-9.4467,-46.3003,21.77,90,43,0.62,BR,1614924542
Port Antonio,18.18,-76.4612,22.83,73,20,1.03,JM,1614924542
Viljandi,58.3639,25.59,-5.97,86,40,3.6,EE,1614924543
Campbell River,50.0163,-125.2446,5.6,100,90,2.85,CA,1614924543
Siocon,7.7061,122.1353,31.0,57,22,5.39,PH,1614924544
Birjand,32.8663,59.2211,18.0,19,75,7.88,IR,1614924546
Baruun-Urt,46.6806,113.2792,-14.93,78,16,1.23,MN,1614924546
Catacaos,-5.2667,-80.6833,26.73,58,85,3.23,PE,1614924547
Shiyan,32.6475,110.7781,17.92,46,91,2.2,CN,1614924547
Mumford,5.2618,-0.759,26.59,88,22,5.54,GH,1614924548
Burkburnett,34.0979,-98.5706,14.37,51,1,6.17,US,1614924549
Valparaíso,-33.0393,-71.6273,16.11,80,2,0.54,CL,1614924549
Geraldton,-28.7667,114.6,28.0,57,6,6.69,AU,1614924550
Saldanha,-33.0117,17.9442,13.0,82,0,1.03,ZA,1614924551
Padang,-0.9492,100.3543,30.0,74,20,2.06,ID,1614924553
Areal,-22.2306,-43.1056,24.18,69,0,5.66,BR,1614924554
Karratha,-20.7377,116.8463,33.84,33,36,6.17,AU,1614924555
Ambulu,-8.345,113.6058,30.0,59,91,3.25,ID,1614924557
Bayangol,50.6977,103.4656,-6.54,86,6,1.74,RU,1614924557
Greifswald,54.1,13.3833,0.0,87,5,3.48,DE,1614924558
Tautira,-17.7333,-149.15,28.0,74,40,1.54,PF,1614924309
Morristown,36.214,-83.2949,7.0,42,1,1.98,US,1614924560
Honningsvåg,70.9821,25.9704,-4.0,86,90,6.17,NO,1614924560
Kralendijk,12.15,-68.2667,25.0,83,40,4.12,BQ,1614924560
City of San Pedro,14.35,121.0167,32.08,52,20,4.63,PH,1614924303
Shingū,33.7333,135.9833,15.0,77,75,5.66,JP,1614924561
Idrinskoye,54.3708,92.1358,-6.63,92,84,2.36,RU,1614924563
Mangai,-4.05,19.5333,22.11,95,100,1.52,CD,1614924564
Kavieng,-2.5744,150.7967,28.75,78,89,5.47,PG,1614924566
Ulaanbaatar,47.9077,106.8832,-7.0,38,0,3.0,MN,1614924566
Takaka,-40.85,172.8,17.78,71,0,2.68,NZ,1614924567
Antalaha,-14.9003,50.2788,29.76,66,48,0.31,MG,1614924568
Gonbad-e Kāvūs,37.25,55.1672,7.0,87,75,2.41,IR,1614924314
Fortuna Foothills,32.6578,-114.4119,13.29,54,1,1.54,US,1614924570
Turukhansk,65.8167,87.9833,-15.6,90,100,7.31,RU,1614924571
Shahrud,36.4182,54.9763,8.96,50,45,1.71,IR,1614924572
Chegdomyn,51.1167,133.0167,-15.61,75,49,4.02,RU,1614924572
Maridi,4.9158,29.4742,27.97,18,66,4.56,SS,1614924574
Egvekinot,66.3167,-179.1667,-24.68,99,100,3.12,RU,1614924574
Paita,-5.0892,-81.1144,23.87,79,88,2.68,PE,1614924574
Poronaysk,49.2167,143.1167,0.93,96,66,4.98,RU,1614924575
Livingston,55.9029,-3.5226,1.09,75,90,1.54,GB,1614924576
Alanya,36.5438,31.9998,11.0,46,0,3.09,TR,1614924465
Manaus,-3.1019,-60.025,24.02,94,0,1.54,BR,1614924452
Wahiawā,21.5028,-158.0236,21.13,77,1,3.09,US,1614924578
Hobyo,5.3505,48.5268,27.3,64,33,7.88,SO,1614924579
Rockingham,42.9668,-71.0995,-6.73,42,37,2.68,US,1614924581
Mapiripán,2.8892,-72.1256,23.71,67,34,1.14,CO,1614924581
Forsytheganj,52.6333,29.7333,-3.01,95,67,2.46,BY,1614924582
Byron Bay,-28.65,153.6167,28.55,57,40,4.12,AU,1614924582
Vigrestad,58.5667,5.7,-2.02,86,0,2.57,NO,1614924583
Kaoma,-14.7833,24.8,19.4,89,38,1.52,ZM,1614924584
Tigil',57.8,158.6667,-18.49,92,93,3.52,RU,1614924584
Assiut,27.181,31.1837,9.0,76,0,2.57,EG,1614924585
Saint-Augustin,51.226,-58.6502,-4.45,98,100,5.49,CA,1614924586
Camacha,33.0833,-16.3333,16.0,77,40,9.77,PT,1614924587
Llanes,43.4198,-4.7549,9.86,75,25,2.82,ES,1614924588
Kanniyākumāri,8.0833,77.5667,29.99,56,1,7.23,IN,1614924589
Mogadishu,2.0371,45.3438,26.0,69,20,5.14,SO,1614924590
Serenje,-13.2325,30.2352,19.48,89,97,0.4,ZM,1614924592
Harrison,30.4091,-89.0436,8.84,87,1,1.66,US,1614924592
Oddur,4.1213,43.8894,26.04,45,89,8.99,SO,1614924593
Kaka,37.3482,59.6143,12.47,49,14,6.43,TM,1614924593
Sinnamary,5.3833,-52.95,25.22,86,100,4.71,GF,1614924593
Tagusao,9.1924,117.8141,29.25,68,0,4.78,PH,1614924595
Quebrada Larga,14.1,-86.3667,19.0,97,2,0.87,HN,1614924595
Broken Hill,-31.95,141.4333,28.0,28,6,4.63,AU,1614924595
Sheridan,44.8333,-106.9173,-1.07,69,1,1.54,US,1614924595
Treinta y Tres,-33.2333,-54.3833,18.77,97,38,2.99,UY,1614924597
Cabildo,-38.4842,-61.8954,15.56,88,100,0.89,AR,1614924597
Del Rio,29.3627,-100.8968,19.0,63,1,3.09,US,1614924598
Comodoro Rivadavia,-45.8667,-67.5,13.0,94,20,2.57,AR,1614924598
Cuamba,-14.8031,36.5372,22.15,92,91,1.68,MZ,1614924599
Karaton,-6.3424,106.1045,32.83,62,40,5.66,ID,1614924600
Begampur,22.7417,88.2433,30.0,62,19,2.06,IN,1614924601
Margate,51.3813,1.3862,4.2,62,100,0.89,GB,1614924603
Hayden,47.766,-116.7866,2.19,86,1,3.09,US,1614924605
Mungwi,-10.1732,31.3694,18.4,92,99,3.44,ZM,1614924606
Mala Tokmachka,47.5356,35.8929,3.95,93,90,5.0,UA,1614924608
Agadez,19.75,10.25,18.74,24,75,4.06,NE,1614924609
Vestmanna,62.1564,-7.1664,4.0,70,90,6.17,FO,1614924610
Saint-Joseph,-21.3667,55.6167,27.07,70,0,3.09,RE,1614924612
Shitanjing,39.2342,106.3439,6.06,51,98,3.09,CN,1614924613
Vrnjačka Banja,43.6167,20.9,-3.0,93,0,0.51,RS,1614924614
Rovenki,48.0833,39.3776,1.78,90,80,7.83,UA,1614924616
Ustka,54.5805,16.8619,0.94,87,41,4.3,PL,1614924617
Ulladulla,-35.35,150.4667,20.49,46,40,7.2,AU,1614924398
Pontianak,-0.0333,109.3333,32.0,62,75,2.57,ID,1614924618
Auki,-8.7676,160.7034,28.38,75,89,3.19,SB,1614924620
Balabac,7.9868,117.0645,28.98,71,51,7.13,PH,1614924620
Edéia,-17.3383,-49.9314,20.1,91,53,1.35,BR,1614924621
Giyani,-23.3025,30.7187,23.02,59,0,1.46,ZA,1614924621
Redmond,47.674,-122.1215,7.31,94,100,1.79,US,1614924623
Havøysund,70.9963,24.6622,-4.5,86,90,6.17,NO,1614924623
Sovetskiy,61.3614,63.5842,-9.58,95,16,0.37,RU,1614924624
Monte Patria,-30.6919,-70.9467,18.21,91,29,0.35,CL,1614924624
Bintulu,3.1667,113.0333,30.0,74,20,2.06,MY,1614924626
Yerbogachën,61.2767,108.0108,-19.01,94,98,4.44,RU,1614924626
Mizdah,31.4451,12.9801,10.72,44,100,5.22,LY,1614924627
Buchanan,5.8808,-10.0467,26.02,88,97,3.6,LR,1614924628
Saint-Pierre,-21.3393,55.4781,27.25,70,0,3.09,RE,1614924630
Pacific Grove,36.6177,-121.9166,8.77,87,1,2.57,US,1614924631
Mollendo,-17.0231,-72.0147,21.87,79,90,2.31,PE,1614924633
Saint Anthony,45.0205,-93.218,1.0,69,90,1.81,US,1614924633
Manglisi,41.697,44.3845,4.0,65,20,1.03,GE,1614924634
